Date,Open,High,Low,Close,Volume
2021-11-29,59.35409,61.81038,59.35409,61.51921,3427846
2021-11-30,62.35539,63.90831,62.01943,63.40809,9514821
2021-12-01,63.37822,63.37822,62.30312,62.58683,1670063
2021-12-02,62.58682,62.58682,58.80160,59.42127,4286061
2021-12-03,59.50341,60.35453,58.68216,59.54821,2906716
2021-12-06,59.72739,60.83235,58.79415,60.51131,1697795
2021-12-07,60.73529,64.92368,60.73529,63.07959,7907015
2021-12-08,63.45289,64.39360,62.05677,63.68434,3556607
2021-12-09,63.35583,65.69266,63.31103,64.72209,7789954
2021-12-10,64.58024,65.21485,63.83365,64.36373,2153798
2021-12-13,64.20694,64.24427,62.60176,62.75854,888232
2021-12-14,63.23638,63.27371,61.11606,62.17622,3152851
2021-12-15,62.71375,64.77435,62.01196,63.84111,4636889
2021-12-16,63.90830,63.90830,62.37779,62.62416,1344460
2021-12-17,62.34794,64.08749,62.04183,63.31104,2759264
2021-12-20,63.38570,64.02030,62.78842,63.71420,1736143
2021-12-21,63.75900,64.39360,62.78843,63.12440,1127439
2021-12-22,63.27370,64.99086,63.27370,64.71462,5580283
2021-12-23,65.30444,66.06596,64.58024,64.72956,1850655
2021-12-24,64.87139,65.21483,63.84110,64.43091,574760
2021-12-27,64.64743,64.65489,63.64699,63.84857,392903
2021-12-28,64.20693,64.65488,63.90829,64.05761,768946
2021-12-29,63.83364,64.54290,63.79631,64.10242,754601
2021-12-30,63.87098,64.46825,63.23637,63.41556,1399405
2021-12-31,62.86308,65.17752,62.82575,64.35626,3368560
2022-01-03,64.54291,65.43882,64.32640,64.84901,2288947
2022-01-04,65.21484,65.92410,65.08045,65.64040,1970237
2022-01-05,65.92410,66.37206,65.40149,65.67773,1875335
2022-01-06,65.67774,65.70014,64.63251,64.96848,619510
2022-01-07,65.25217,65.62546,64.96846,65.34922,782135
2022-01-10,65.34922,66.33472,64.99832,65.66279,2180857
2022-01-11,65.69266,66.01369,64.84154,65.17004,1008011
2022-01-12,65.40150,66.74536,65.39403,66.05103,4364604
2022-01-13,65.88677,66.44672,65.77478,65.90170,977741
2022-01-14,66.44673,67.00667,66.07343,66.22275,3533970
2022-01-17,66.44672,66.59603,65.17751,65.99876,856159
2022-01-18,66.29740,67.02159,65.92410,66.30486,3313419
2022-01-19,66.67816,67.08132,65.33430,65.76732,3512725
2022-01-20,65.75985,66.36459,65.02819,65.95396,2283068
2022-01-21,65.88678,66.33473,65.47615,65.55827,635622
2022-01-24,65.96142,66.02861,65.25216,65.69264,623694
2022-01-25,65.71505,66.07342,65.17751,65.34922,2371627
2022-01-26,65.47615,65.62547,64.76689,64.89381,1153802
2022-01-27,65.02820,65.58814,64.58024,64.91621,1331729
2022-01-28,64.95353,65.52840,64.29653,64.40105,2530451
2022-01-31,64.97595,65.14021,64.58026,64.98342,1115476
2022-02-01,65.32683,65.84944,64.96846,65.79718,1063564
2022-02-02,66.07340,67.11863,65.78223,66.89465,2264735
2022-02-03,67.34263,67.45462,65.70759,65.95396,1403327
2022-02-04,66.55871,67.92498,66.22274,66.82748,7935067
2022-02-07,67.00668,68.56705,66.89469,68.33561,5926878
